CustomerKey,Total Sales,Total Cost,Profit,Profit Margin,Total Transaction,No Of Days
11000,4848.999999999999,2823.1450999999997,2025.8548999999994,41.78%,7,2
11001,2419.929999999999,1327.9371999999998,1091.992799999999,45.12%,6,1
11002,4714.049999999999,2747.0054999999998,1967.0444999999995,41.73%,3,2
11003,4739.299999999999,2760.0092000000004,1979.2907999999989,41.76%,8,2
11004,4796.0199999999995,2781.9505,2014.0694999999996,41.99%,5,2
11005,4746.34,2763.3702,1982.9698000000003,41.78%,5,2
11006,4719.039999999999,2753.1600000000003,1965.8799999999987,41.66%,4,2
11007,4811.009999999999,2783.2686,2027.7413999999994,42.15%,7,2
11008,4731.32,2753.4646,1977.8554,41.80%,6,2
11009,4716.34,2747.862,1968.478,41.74%,4,2
11010,4688.049999999999,2740.8415,1947.2084999999993,41.54%,3,2
11011,4733.049999999999,2775.4914999999996,1957.5584999999996,41.36%,3,2
11012,74.98,28.042599999999997,46.93740000000001,62.60%,3,1
11013,38.980000000000004,14.5786,24.401400000000002,62.60%,2,1
11014,138.45000000000002,51.7805,86.66950000000001,62.60%,6,2
11015,2500.97,1333.306,1167.6639999999998,46.69%,3,1
11016,2332.2799999999997,1265.9278,1066.3521999999998,45.72%,3,1
11017,2316.97,1260.2017999999998,1056.7682,45.61%,2,1
11018,2341.97,1273.84,1068.1299999999999,45.61%,2,1
11019,305.18000000000006,135.5178,169.66220000000007,55.59%,13,6
11020,2316.97,1260.2017999999998,1056.7682,45.61%,2,1
11021,2371.9599999999996,1280.7681,1091.1918999999996,46.00%,3,1
11022,2322.2799999999997,1266.476,1055.8039999999996,45.46%,2,1
11023,115.96,64.7491,51.210899999999995,44.16%,4,1
11024,42.28,15.812800000000001,26.4672,62.60%,3,1
11025,2405.47,1297.589,1107.8809999999999,46.06%,3,1
11026,2399.4699999999993,1295.3451,1104.1248999999993,46.02%,3,1
11027,2412.959999999999,1321.0421999999999,1091.9177999999993,45.25%,4,1
11028,2357.2799999999997,1279.566,1077.7139999999997,45.72%,3,1
11029,2408.9699999999993,1320.2781,1088.6918999999994,45.19%,3,1
11036,2354.9799999999996,1278.7058,1076.2741999999996,45.70%,2,1
11037,2374.2299999999996,1281.6171999999997,1092.6127999999999,46.02%,7,1
11040,2350.9599999999996,1277.2023,1073.7576999999997,45.67%,3,1
11041,2380.47,1283.9507999999998,1096.5192,46.06%,3,1
11042,2319.99,1265.6195,1054.3704999999998,45.45%,1,1
11043,12.98,8.4146,4.5654,35.17%,2,1
11045,64.97,24.2989,40.671099999999996,62.60%,3,1
11049,74.98,28.042599999999997,46.93740000000001,62.60%,3,1
11050,854.97,451.74789999999996,403.22210000000007,47.16%,3,1
11052,4756.33,2762.8183,1993.5117,41.91%,6,2
11053,2329.9799999999996,1265.0675999999999,1064.9123999999997,45.70%,2,1
11054,4823.029999999999,2809.1440999999995,2013.8858999999993,41.76%,5,2
11055,4793.019999999999,2780.8286,2012.1913999999988,41.98%,7,2
11056,4832.509999999998,2816.9779,2015.5320999999985,41.71%,7,2
11057,4713.049999999999,2750.9196999999995,1962.1302999999998,41.63%,3,2
11058,4848.029999999999,2822.7823,2025.247699999999,41.77%,5,2
11059,116.92999999999998,68.67209999999999,48.25789999999999,41.27%,7,3
11060,4753.029999999999,2765.8722999999995,1987.1576999999993,41.81%,5,2
11061,4754.029999999999,2766.2463000000002,1987.7836999999986,41.81%,5,2
11062,2351.9599999999996,1273.2880999999998,1078.6718999999998,45.86%,3,1
