CustomerKey,ProductKey,Total Sales,Total Cost,Total Profit,Profit Margin,Year
11000,214,34.99,13.0863,21.9037,62.60%,2003
11000,344,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11000,353,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11000,485,21.98,8.2205,13.759500000000001,62.60%,2003
11000,488,53.99,41.5723,12.417700000000004,23.00%,2003
11000,530,4.99,1.8663,3.1237000000000004,62.60%,2003
11000,541,28.99,10.8423,18.1477,62.60%,2003
11000,573,2384.07,1481.9379,902.1321000000003,37.84%,2003
11001,217,34.99,13.0863,21.9037,62.60%,2004
11001,225,8.99,6.9223,2.0677000000000003,23.00%,2003
11001,350,3374.99,1898.0944,1476.8955999999998,43.76%,2001
11001,353,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11001,477,4.99,1.8663,3.1237000000000004,62.60%,2003
11001,477,4.99,1.8663,3.1237000000000004,62.60%,2004
11001,478,9.99,3.7363,6.2537,62.60%,2003
11001,479,8.99,3.3623,5.627700000000001,62.60%,2004
11001,485,21.98,8.2205,13.759500000000001,62.60%,2003
11001,491,53.99,41.5723,12.417700000000004,23.00%,2003
11001,604,539.99,343.6496,196.3404,36.36%,2004
11002,222,34.99,13.0863,21.9037,62.60%,2003
11002,346,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11002,359,2294.99,1251.9813,1043.0086999999999,45.45%,2003
11002,561,2384.07,1481.9379,902.1321000000003,37.84%,2003
11003,225,8.99,6.9223,2.0677000000000003,23.00%,2003
11003,346,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11003,361,2294.99,1251.9813,1043.0086999999999,45.45%,2003
11003,477,4.99,1.8663,3.1237000000000004,62.60%,2003
11003,478,9.99,3.7363,6.2537,62.60%,2003
11003,480,2.29,0.8565,1.4335,62.60%,2003
11003,530,4.99,1.8663,3.1237000000000004,62.60%,2003
11003,541,28.99,10.8423,18.1477,62.60%,2003
11003,564,2384.07,1481.9379,902.1321000000003,37.84%,2003
11004,214,34.99,13.0863,21.9037,62.60%,2003
11004,217,34.99,13.0863,21.9037,62.60%,2003
11004,345,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11004,355,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11004,485,21.98,8.2205,13.759500000000001,62.60%,2003
11004,562,2384.07,1481.9379,902.1321000000003,37.84%,2003
11005,351,3374.99,1898.0944,1476.8955999999998,43.76%,2001
11005,355,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11005,480,2.29,0.8565,1.4335,62.60%,2003
11005,528,4.99,1.8663,3.1237000000000004,62.60%,2003
11005,537,35,13.09,21.91,62.60%,2003
11005,562,2384.07,1481.9379,902.1321000000003,37.84%,2003
11006,346,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11006,357,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11006,477,4.99,1.8663,3.1237000000000004,62.60%,2003
11006,478,9.99,3.7363,6.2537,62.60%,2003
11006,562,2384.07,1481.9379,902.1321000000003,37.84%,2003
11007,214,34.99,13.0863,21.9037,62.60%,2003
11007,222,34.99,13.0863,21.9037,62.60%,2003
11007,347,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11007,361,2294.99,1251.9813,1043.0086999999999,45.45%,2003
11007,485,21.98,8.2205,13.759500000000001,62.60%,2003
11007,528,4.99,1.8663,3.1237000000000004,62.60%,2003
11007,537,35,13.09,21.91,62.60%,2003
11007,564,2384.07,1481.9379,902.1321000000003,37.84%,2003
11008,214,34.99,13.0863,21.9037,62.60%,2003
11008,348,3374.99,1898.0944,1476.8955999999998,43.76%,2001
11008,361,2294.99,1251.9813,1043.0086999999999,45.45%,2003
