
DFC BLANK SALE REPORT AS OF Oct 12 2023.


SYMBOL CODE,BLANK SALE VOLUME,BLANK SALE VALUE (As per Futures Market Closing Price),OPEN INTEREST VOLUME,OPEN INTEREST VALUE (As per Futures Market Closing price),FREE FLOAT,*BLANK SALE AS PERCENTAGE OF OPEN INTEREST,*BLANK SALE AS PERCENTAGE OF FREE FLOAT

AGHA-OCT,50000,561500,618500,6945755,241951623,8.0841,0.0207
AGL-OCT,630000,5040000,6265000,50120000,215836500,10.0559,0.2919
AIRLINK-OCT,878800,24492156,5232000,145815840,98817308,16.7966,0.8893
AIRLINK-OCTB,525500,13400250,536000,13668000,98817308,98.0410,0.5318
AKBL-OCT,21996,360294,162500,2661750,434789762,13.5360,0.0051
APL-OCTB,3000,963300,29000,9311900,31104000,10.3448,0.0096
ASTL-OCT,17500,375200,217000,4652480,74252857,8.0645,0.0236
ATRL-NOVB,26900,8016200,38500,11473000,42646500,69.8701,0.0631
ATRL-OCTB,2170126,639427626,3554000,1047186100,42646500,61.0615,5.0886
AVN-OCT,292427,15004429,2595000,133149450,112889355,11.2689,0.2590
BAHL-OCTB,2000,102080,193000,9850720,722426520,1.0363,0.0003
BIPL-OCT,806000,14040520,2755000,47992100,332610990,29.2559,0.2423
BOP-OCT,4500,17865,2501000,9928970,1381546138,0.1799,0.0003
CHCC-OCTB,8000,1049920,239000,31366360,116577023,3.3473,0.0069
CNERGY-OCT,2101126,7059783,20842000,70029120,1648034271,10.0812,0.1275
CPHL-OCTB,26500,577170,350500,7633890,79961420,7.5606,0.0331
DCL-OCT,10500,45675,443000,1927050,121028336,2.3702,0.0087
DFML-OCT,1039499,18076888,5227500,90906225,55494097,19.8852,1.8732
DGKC-OCT,585851,28378622,5455500,264264420,219059559,10.7387,0.2674
DOL-OCTB,9500,214795,221500,5008115,52509325,4.2889,0.0181
EFERT-OCT,137450,12242672,738000,65733660,600884719,18.6247,0.0229
ENGRO-OCTB,9000,2408850,84000,22482600,268313234,10.7143,0.0034
EPCL-OCTB,2500,106125,248000,10527600,227230833,1.0081,0.0011
EPQL-OCTB,2000,51600,28000,722400,97140000,7.1429,0.0021
FABL-OCTB,25500,626025,358000,8788900,379424131,7.1229,0.0067
FCCL-OCT,70000,847000,1129000,13660900,858496527,6.2002,0.0082
FFBL-OCT,92000,1470160,1015500,16227690,451938500,9.0596,0.0204
FFL-OCT,269700,1804293,6666500,44598885,503992628,4.0456,0.0535
FLYNG-OCT,1000,5890,4554000,26823060,277920000,0.0220,0.0004
GATM-OCT,3000,55230,318500,5863585,185014865,0.9419,0.0016
GGL-OCT,22000,212740,11721500,113346905,177059795,0.1877,0.0124
GHNI-OCT,563314,75743200,834500,112206870,12782653,67.5032,4.4069
HBL-OCT,33500,3218010,1186500,113975190,660083629,2.8234,0.0051
HUBC-OCTB,248321,22666741,1740500,158872840,972865790,14.2672,0.0255
INIL-OCTB,2500,243750,26000,2535000,65940940,9.6154,0.0038
ISL-OCTB,56480,2733632,281000,13600400,152250000,20.0996,0.0371
KAPCO-OCTB,16500,376365,973000,22194130,456221621,1.6958,0.0036
KEL-NOV,50999,147387,153500,443615,2761519425,33.2241,0.0018
KEL-OCT,2917498,8373219,54753000,157141110,2761519425,5.3285,0.1056
KOHC-OCT,500,90995,95500,17380045,58758389,0.5236,0.0009
LOTCHEM-OCT,207491,5660354,1180000,32190400,227131081,17.5840,0.0914
LPL-OCTB,20000,316000,941000,14867800,151935493,2.1254,0.0132
LUCK-OCTB,42320,24968800,400000,236000000,109681250,10.5800,0.0386
MCB-OCTB,11114,1575965,112000,15881600,414771002,9.9232,0.0027
MEBL-OCTB,2998,377748,327000,41202000,447406080,0.9168,0.0007
MLCF-OCT,1808034,59755524,5962000,197044100,483005804,30.3260,0.3743
MTL-OCT,9500,4284500,19000,8569000,86309203,50.0000,0.0110
MTL-OCTB,10354,4540229,10500,4604250,86309203,98.6095,0.0120
MUGHAL-NOVB,2500,132750,2500,132750,83908483,100.0000,0.0030
MUGHAL-OCTB,3000,156300,183000,9534300,83908483,1.6393,0.0036
NCL-OCT,14000,320460,437500,10014375,108053563,3.2000,0.0130
NCPL-OCT,2622440,57038070,3044000,66207000,220408163,86.1511,1.1898
NETSOL-OCT,134200,11094314,1623500,134214745,26951077,8.2661,0.4979
NML-OCT,65500,4104230,583000,36530780,140639939,11.2350,0.0466
NML-OCTB,1500,88335,921000,54237690,140639939,0.1629,0.0011
NPL-OCTB,88000,2073280,166000,3910960,159339825,53.0120,0.0552
NRL-NOV,1500,360180,1500,360180,26230266,100.0000,0.0057
NRL-OCT,840868,206761033,2136500,525343985,26230266,39.3573,3.2057
OGDC-NOV,300000,29130000,311500,30246650,645139260,96.3082,0.0465
OGDC-OCT,146500,14242730,6802500,661339050,645139260,2.1536,0.0227
OGDC-OCTB,1153478,110514727,11999000,1149624190,645139260,9.6131,0.1788
PAEL-OCT,265900,3217390,9357500,113225750,428006078,2.8416,0.0621
PIAA-NOV,500,2785,500,2785,188908780,100.0000,0.0003
PIAA-OCT,794093,4311925,6041500,32805345,188908780,13.1440,0.4204
PIOC-OCT,673549,65037891,1168500,112830360,113574397,57.6422,0.5930
POL-OCTB,3700,1465200,508500,201366000,129853985,0.7276,0.0028
PPL-OCTB,243954,18555141,9096000,691841760,667864384,2.6820,0.0365
PRL-OCT,695960,11378946,18263500,298608225,223949388,3.8107,0.3108
PSMC-OCT,597879,85699976,682500,97829550,21804329,87.6013,2.7420
PSO-OCTB,194998,23592808,3954500,478454955,211262985,4.9310,0.0923
PTC-OCT,3000,18540,11162000,68981160,592185867,0.0269,0.0005
SEARL-NOV,17000,631550,79000,2934850,175529634,21.5190,0.0097
SEARL-OCTB,10152231,378373649,10218000,380824860,175529634,99.3563,5.7838
SHEL-OCT,1073599,160492315,5938000,887671620,53506166,18.0801,2.0065
SNGP-OCT,449500,21589485,3142500,150934275,285397499,14.3039,0.1575
SSGC-OCT,3500,34650,2405000,23809500,336437548,0.1455,0.0010
SYS-NOV,500,209975,5000,2099750,174154620,10.0000,0.0003
SYS-OCT,8590,3535644,245000,100842000,174154620,3.5061,0.0049
TELE-OCT,153495,1123583,12948500,94783020,325991410,1.1854,0.0471
TGL-OCTB,2000,162000,1112000,90072000,68866875,0.1799,0.0029
TOMCL-OCT,58500,1265355,2339500,50603385,60746405,2.5005,0.0963
TPL-OCT,1000,5090,445000,2265050,106919105,0.2247,0.0009
TPLP-OCT,20000,247200,19768000,244332480,227922627,0.1012,0.0088
TREET-OCT,1212559,21086401,2107500,36649425,80424505,57.5354,1.5077
TRG-NOV,1500,128205,54000,4615380,381773466,2.7778,0.0004
TRG-OCT,1361202,114082340,37743000,3163240830,381773466,3.6065,0.3565
UBL-OCT,41500,6460720,134000,20861120,489671875,30.9701,0.0085
UNITY-OCT,2644678,69872393,33674000,889667080,417917500,7.8538,0.6328
WTL-OCT,2120480,2799034,53733000,70927560,3109831057,3.9463,0.0682




