Date,Open Index,Closing Index
2023-10-06,12166.31,12186.39
2023-10-05,12158.3,12166.31
2023-10-04,12151.25,12158.3
2023-10-03,12144.26,12151.25
2023-10-02,12136.87,12144.26
2023-09-28,12108.76,12136.87
2023-09-27,12101.7,12108.76
2023-09-26,12095.1,12101.7
2023-09-25,12089.25,12095.1
2023-09-22,12068.66,12089.25
2023-09-21,12060.89,12068.66
2023-09-20,12054.01,12060.89
2023-09-19,12047.14,12054.01
2023-09-18,12040.28,12047.14
2023-09-15,12017.89,12040.28
2023-09-14,12011.62,12017.89
2023-09-13,12005.07,12011.62
2023-09-12,11998.41,12005.07
2023-09-11,11991.75,11998.41
2023-09-07,11975.5,11969.66
2023-09-06,11968.96,11975.5
2023-09-05,11962.17,11968.96
2023-09-04,11954.53,11962.17
2023-09-01,11933.04,11954.53
2023-08-31,11928.66,11933.04
2023-08-30,11916.82,11923.38
2023-08-29,11916.82,11923.38
2023-08-28,11907.07,11916.82
2023-08-25,11886.79,11907.07
2023-08-24,11879.49,11886.79
2023-08-23,11872.21,11879.49
2023-08-22,11864.38,11872.21
2023-08-21,11856.11,11864.38
2023-08-18,11835.31,11856.11
2023-08-17,11829.34,11835.31
2023-08-16,11824.2,11829.34
2023-08-15,11817.76,11824.2
2023-08-11,11789.84,11817.76
2023-08-10,11789.72,11789.84
2023-08-09,11783.25,11789.72
2023-08-08,11776.78,11783.25
2023-08-07,11770.31,11776.78
2023-08-04,11750.9,11770.31
2023-08-03,11744.43,11750.9
2023-08-02,11737.96,11744.43
2023-08-01,11731.49,11737.96
2023-07-31,11725.02,11731.49
2023-07-27,11699.14,11725.02
2023-07-26,11692.67,11699.14
2023-07-25,11686.2,11692.67
2023-07-24,11679.73,11686.2
2023-07-21,11660.32,11679.73
2023-07-20,11653.85,11660.32
2023-07-19,11647.38,11653.85
2023-07-18,11640.91,11647.38
2023-07-17,11634.44,11640.91
2023-07-14,11615.03,11634.44
2023-07-13,11611.31,11615.03
2023-07-12,11604.41,11611.31
2023-07-11,11597.52,11604.41
2023-07-10,11590.59,11597.52
2023-07-07,11569.83,11590.59
2023-07-06,11562.71,11569.83
2023-07-05,11555.82,11562.71
2023-07-04,11548.14,11555.82
2023-07-03,11506.11,11512.83
2023-06-27,11506.11,11512.83
2023-06-26,11506.11,11512.11
2023-06-23,11485.55,11506.11
2023-06-22,11478.68,11485.55
2023-06-21,11470.98,11478.68
2023-06-20,11464.38,11470.98
2023-06-16,11438.13,11457.98
2023-06-15,11438.08,11438.13
2023-06-14,11432.62,11438.08
2023-06-13,11425.43,11432.62
2023-06-12,11419.55,11425.43
2023-06-09,11400.65,11419.55
2023-06-08,11395.32,11400.65
