,Sr,Item Code,Item Name,Supplier / Department,PO No.,DC Number,MRR No.,Shipment No.,Lot No.,Potency,Requested Date,Receiving Date,Quantity ,UOM,Sample Date,Release Status,Rel / Rej / Hold Date,Manufacturer
11,1,1308-00748-1002,CARTON RYXON 1gm INJECTION C/P - (ND) - R2 - Local Pack C/P,METIER IMPRESSIONS (PVT) LTD.,15542,22230495,546,,12327,-,2022-12-15 00:00:00,2023-01-11 00:00:00,45600,Numbers,2023-01-12 00:00:00,Released,2023-01-27 00:00:00,
12,2,1307-00297-2010,STICKER RYXON 1gm INJECTION C/P - (Export) - (ND) - Export Group 10,SWS (PVT) LIMITED,14787,5842,547,,12460,-,2022-06-30 00:00:00,2023-01-30 00:00:00,60500,Numbers,2023-02-01 00:00:00,Released,2023-02-16 00:00:00,
13,3,1307-00298-2010,STICKER RYXON 1gm I.M. INJECTION C/P - (Export) - Export Group 10,SWS (PVT) LIMITED,14787,5842,548,,12461,-,2022-06-30 00:00:00,2023-01-30 00:00:00,44000,Numbers,2023-02-01 00:00:00,Released,2023-02-16 00:00:00,
14,4,1111-00001-1001,RUBBER STOPPER BROMO BUTYL GREY 20mm - Common Material,ANHUI HUAFENG PHARMACEUTICAL RUBBER CO. LTD.,14409,HF2212222,549,121.1,12463,-,2022-07-14 00:00:00,2023-01-30 00:00:00,1500000,Numbers,2023-01-31 00:00:00,Released,2023-02-01 00:00:00,
15,5,1110-00004-1001,MOULDED CLEAR GLASS VIAL 15ml - Common Material,"SHANDONG PHARMACEUTICAL GLASS CO., LTD.",13488,BPL20220002,550,123.1,12500,-,2022-04-05 00:00:00,2023-02-03 00:00:00,653400,Numbers,2023-02-06 00:00:00,Released,2023-02-06 00:00:00,
16,6,1308-00748-1002,CARTON RYXON 1gm INJECTION C/P - (ND) - R2 - Local Pack C/P,METIER IMPRESSIONS (PVT) LTD.,15542,22230582,551,,12546,-,2022-12-15 00:00:00,2023-02-14 00:00:00,150700,Numbers,2023-02-15 00:00:00,Released,2023-02-16 00:00:00,
17,7,1309-00244-1001,INSERT RYXON INJECTION - (ND) - R2 (Un-Folded) - Common Material,METIER IMPRESSIONS (PVT) LTD.,16172,22230607,552,,12611,-,2023-03-27 00:00:00,2023-02-28 00:00:00,269000,Numbers,2023-03-13 00:00:00,Released,2023-03-14 00:00:00,
18,8,1308-00748-1002,CARTON RYXON 1gm INJECTION C/P - (ND) - R2 - Local Pack C/P,METIER IMPRESSIONS (PVT) LTD.,15542,22230619,553,,12634,-,2022-12-15 00:00:00,2023-03-03 00:00:00,64750,Numbers,2023-03-08 00:00:00,Released,2023-03-09 00:00:00,
19,9,1308-00748-1002,CARTON RYXON 1gm INJECTION C/P - (ND) - R2 - Local Pack C/P,METIER IMPRESSIONS (PVT) LTD.,16172,22230620,554,,12636,-,2023-03-27 00:00:00,2023-03-03 00:00:00,46800,Numbers,2023-03-08 00:00:00,Released,2023-03-09 00:00:00,
20,10,1308-00748-1002,CARTON RYXON 1gm INJECTION C/P - (ND) - R2 - Local Pack C/P,METIER IMPRESSIONS (PVT) LTD.,16172,22230626,555,,12669,-,2023-03-27 00:00:00,2023-03-08 00:00:00,96000,Numbers,2023-03-13 00:00:00,Released,2023-03-15 00:00:00,
21,11,1308-00748-1002,CARTON RYXON 1gm INJECTION C/P - (ND) - R2 - Local Pack C/P,METIER IMPRESSIONS (PVT) LTD.,16172,22230637,556,,12690,-,2023-03-27 00:00:00,2023-03-13 00:00:00,127650,Numbers,2023-03-14 00:00:00,Released,2023-03-22 00:00:00,
22,12,1309-00208-1001,INSERT RYXON INJECTION - (ND) - R1 - Common Material,METIER IMPRESSIONS (PVT) LTD.,16117,22230638,557,,12691,-,2023-03-01 00:00:00,2023-03-14 00:00:00,108000,Numbers,2023-03-15 00:00:00,Released,2023-03-20 00:00:00,
23,13,1314-00217-1002,OUTER LABEL RYXON 1g INJECTION - (ND) - Local Pack C/P,M. A. PRINTERS,16169,1247,558,,12768,-,2023-03-10 00:00:00,2023-04-06 00:00:00,5000,Numbers,2023-04-07 00:00:00,Released,2023-04-11 00:00:00,
24,14,1106-00009-1001,FLIP-OFF SEAL BLUE 20mm - Common Material,METAL & POLYMER INDUSTRIES (PVT) LIMITED,16441,MPI/BPL-028/23,559,125.1,12794,-,2023-03-21 00:00:00,2023-04-17 00:00:00,265000,Numbers,2023-04-18 00:00:00,Released,2023-05-05 00:00:00,
25,15,1106-00006-1001,FLIP OFF SEAL RED 20mm - Common Material,METAL & POLYMER INDUSTRIES (PVT) LIMITED,16441,MPI/BPL-029/23,562,126.1,12857,-,2023-03-20 00:00:00,2023-05-04 00:00:00,100000,Numbers,2023-05-10 00:00:00,Released,2023-05-16 00:00:00,
26,16,1106-00009-1001,FLIP-OFF SEAL BLUE 20mm - Common Material,METAL & POLYMER INDUSTRIES (PVT) LIMITED,16441,16441,563,127.1,12858,-,2023-03-21 00:00:00,2023-05-04 00:00:00,135000,Numbers,2023-05-08 00:00:00,Released,2023-05-16 00:00:00,
27,17,1106-00009-1001,FLIP-OFF SEAL BLUE 20mm - Common Material,METAL & POLYMER INDUSTRIES (PVT) LIMITED,16509,MPI/BPL-032/23,564,128.1,12902,-,2023-05-22 00:00:00,2023-05-15 00:00:00,301700,Numbers,2023-05-16 00:00:00,Released,2023-05-22 00:00:00,
28,18,1309-00244-1001,INSERT RYXON INJECTION - (ND) - R2 (Un-Folded) - Common Material,METIER IMPRESSIONS (PVT) LTD.,16513,22230743,565,,12956,-,2023-04-28 00:00:00,2023-05-22 00:00:00,162000,Numbers,2023-05-23 00:00:00,Released,2023-05-24 00:00:00,
29,19,1308-00748-1002,CARTON RYXON 1gm INJECTION C/P - (ND) - R2 - Local Pack C/P,METIER IMPRESSIONS (PVT) LTD.,16517,22230764,567,,12992,-,2023-04-28 00:00:00,2023-05-30 00:00:00,179260,Numbers,2023-05-31 00:00:00,Released,2023-06-05 00:00:00,
30,20,1307-00239-1002,STICKER RYXON 1gm INJECTION C/P - (ND) - R1 - Local Pack C/P,AN TRADERS,16277,553,568,,13007,-,2023-03-27 00:00:00,2023-06-01 00:00:00,230000,Numbers,2023-06-01 00:00:00,Released,2023-06-02 00:00:00,
31,21,1307-00239-1002,STICKER RYXON 1gm INJECTION C/P - (ND) - R1 - Local Pack C/P,AN TRADERS,16516,561,569,,13058,-,2023-04-28 00:00:00,2023-06-09 00:00:00,185000,Numbers,2023-06-09 00:00:00,Released,2023-06-14 00:00:00,
32,22,1311-00037-1001,MASTER CARTON 07 - (ND) - Common Material,KHAN PACKAGES,16175,105,570,,13069,-,2023-03-27 00:00:00,2023-06-15 00:00:00,2000,Numbers,2023-06-15 00:00:00,Released,2023-06-16 00:00:00,
