Concatenate (Fusion),Concatenate (EBS),S. No.,Supplier Name,Purchase Order No,EBS No,Fusion Receipt No,Invoice Ref.,Invoice Date,Submitted Date,Amount,Remarks (If any),DC Number,Original DC,, Overdue Days ,
4988-1005,4988-957,3539,Naseer Autos,4988,957,1005,4988,14-Jun-19,17-Jun-19,"104,929.00",,,,,,
5017-,5017-1356,3540,Pakistan Oxygen ,5017,1356,,371519055,29-May-19,17-Jun-19,"38,689.15",,,,,,
5017-2514,5017-,3541,Pakistan Oxygen ,5017,,2514,371519055,29-May-19,17-Jun-19,"38,689.15",,,,,,
5017-,5017-1357,3542,Pakistan Oxygen ,5017,1357,,371519023,23-May-19,17-Jun-19,"19,864.85",,,,,,
5017-2515,5017-,3543,Pakistan Oxygen ,5017,,2515,371519023,23-May-19,17-Jun-19,"19,864.85",,,,,,
4719-2512,4719-,3544,Bureau Veritas,4719,,2512,19002497,28-May-19,17-Jun-19,"216,847.00",,,,,,
4799-,4799-1411,3545,Rauf Electronic ,4799,1411,,07215/1819M,13-Jun-19,17-Jun-19,"70,200.00",,,,,,
4644-,4644-3369,3546,United Chemical Corporation ,4644,3369,,002496,01-Jun-19,17-Jun-19,"678,600.00",,,,,,
5149-,5149-3444,3547,Martin Dow,5149,3444,,9200007685,14-Jun-19,17-Jun-19,"1,010,880.00",,,,,,
3275-3190,3275-3423,3548,Metier Ampoule ,3275,3423,3190,18190095,12-Jun-19,17-Jun-19,"344,963.00",,,,,,
3275-,3275-3424,3549,Metier Ampoule ,3275,3424,,18190094,12-Jun-19,17-Jun-19,"387,892.00",,,,,,
4999-,4999-3425,3550,Metier Ampoule ,4999,3425,,18190093,04-Jan-00,17-Jun-19,"542,599.00",,,,,,
4453-,4453-3407,3551,Metier Impressions,4453,3407,,18190595,10-Jun-19,17-Jun-19,"150,134.00",,,,,,
4453-,4453-3408,3552,Metier Impressions,4453,3408,,18190596,10-Jun-19,17-Jun-19,"45,011.00",,,,,,
4961-,4961-3406,3553,Metier Impressions,4961,3406,,18190597,10-Jun-19,17-Jun-19,"235,333.00",,,,,,
3808-3185,3808-3427,3554,Metier Impressions,3808,3427,3185,18190598,12-Jun-19,17-Jun-19,"154,622.00",,,,,,
4961-,4961-3428,3555,Metier Impressions,4961,3428,,18190599,12-Jun-19,17-Jun-19,"169,963.00",,,,,,
3336-,3336-3437,3556,Metier Impressions,3336,3437,,18190600,13-Jun-19,17-Jun-19,"348,973.00",,,,,,
4539-,4539-3440,3557,Metier Impressions,4539,3440,,18190601,13-Jun-19,17-Jun-19,"67,549.00",,,,,,
4539-,4539-3439,3558,Metier Impressions,4539,3439,,18190602,13-Jun-19,17-Jun-19,"64,079.00",,,,,,
3576-,3576-3438,3559,Metier Impressions,3576,3438,,18190603,13-Jun-19,17-Jun-19,"134,055.00",,,,,,
4671-,4671-3442,3560,Metier Impressions,4671,3442,,18190604,13-Jun-19,17-Jun-19,"20,158.00",,,,,,
2592-3189,2592-3422,3561,Metier Plastic,2592,3422,3189,18190373,12-Jun-19,17-Jun-19,"30,708.00",,,,,,
2592-3188,2592-3426,3562,Metier Plastic,2592,3426,3188,18190374,12-Jun-19,17-Jun-19,"409,500.00",,,,,,
2592-,2592-3431,3563,Metier Plastic,2592,3431,,18190375,13-Jun-19,17-Jun-19,"533,754.00",,,,,,
2592-,2592-3432,3564,Metier Plastic,2592,3432,,18190375,13-Jun-19,17-Jun-19,"533,754.00",,,,,,
2592-,2592-3441,3565,Metier Plastic,2592,3441,,18190376,13-Jun-19,17-Jun-19,"224,640.00",,,,,,
4419-990,4419-942,3566,Syscom International,4419,942,990,451,12-Jun-19,17-Jun-19,"10,559.25",,,,,,
3392-910,3392-862,3567,Wadittar Engineering ,3392,862,910,1259,13-May-19,17-Jun-19,"110,000.00",,,,,,
4912-2373,4912-1325,3568,Lucky Cement Limited,4912,1325,2373,91257391,10-May-19,17-Jun-19,"233,948.40",,,,,,
5046-1012,5046-964,3569,Imran Engineering,5046,964,1012,136,12-Jun-19,17-Jun-19,"108,500.00",,,,,,
5206-2538,5206-,3570,Transworld ,5206,,2538,INV-56050-L6K3J6,01-Jun-19,19-Jun-19,"252,574.45",,,,,,
