Concatenate (EBS),Supplier,PO No  ( EBS ),PO ( EBS ) Delivery Date,MRR No. ( EBS ),MRR Date ( EBS ),MRR No. ( Fusion ),MRR Release Date,Invoice Number,Invoice Ref.
17940-627,KHAN PACKAGES,17940,2023-12-29,627,2023-12-18,814,2023-12-20,0,Not Submitted
17713-626,AN TRADERS,17713,2023-12-05,626,2023-12-12,813,2023-12-15,0,Not Submitted
17415-625,AN TRADERS,17415,2023-10-10,625,2023-12-11,0,2023-12-13,0,Not Submitted
17152-624,METAL & POLYMER INDUSTRIES (PVT) LIMITED,17152,2023-08-03,624,2023-12-11,811,2023-12-13,0,Not Submitted
17415-623,AN TRADERS,17415,2023-10-10,623,2023-12-09,810,2023-12-13,0,Not Submitted
17009-622,SINOPHARM WEIQIDA PHARMACEUTICAL CO LTD,17009,2023-08-20,622,2023-12-07,809,2023-12-11,0,Not Submitted
17009-621,SINOPHARM WEIQIDA PHARMACEUTICAL CO LTD,17009,2023-08-20,621,2023-12-07,808,2023-12-11,0,Not Submitted
17009-620,SINOPHARM WEIQIDA PHARMACEUTICAL CO LTD,17009,2023-08-20,620,2023-12-07,807,2023-12-11,0,Not Submitted
17152-619,METAL & POLYMER INDUSTRIES (PVT) LIMITED,17152,2023-08-03,619,2023-12-06,805,2023-12-11,0,Not Submitted
17613-618,IFTEKHAR INTERNATIONAL,17613,2023-10-25,618,2023-12-05,803,2023-12-06,0,Not Submitted
17613-616,IFTEKHAR INTERNATIONAL,17613,2023-10-25,616,2023-12-04,802,2023-12-05,0,Not Submitted
18102-6099,M/S. MUSAJI ADAM & SONS,18102,2023-11-29,6099,2023-12-22,10965,,0,Not Submitted
18102-6099,M/S. MUSAJI ADAM & SONS,18102,2023-11-29,6099,2023-12-22,10965,,0,Not Submitted
18004-6098,PAKISTAN OXYGEN LIMITED,18004,2023-11-24,6098,2023-12-22,10964,,0,Not Submitted
18090-6097,CORPORATE TRADERS,18090,2023-12-18,6097,2023-12-22,10963,,0,Not Submitted
18090-6097,CORPORATE TRADERS,18090,2023-12-18,6097,2023-12-22,10963,,0,Not Submitted
18090-6097,CORPORATE TRADERS,18090,2023-12-18,6097,2023-12-22,10963,,0,Not Submitted
18090-6097,CORPORATE TRADERS,18090,2023-12-18,6097,2023-12-22,10963,,0,Not Submitted
18090-6097,CORPORATE TRADERS,18090,2023-12-26,6097,2023-12-22,10963,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
18100-6096,MUHAMMAD AFZAL -CASH PURCHASES,18100,2023-12-19,6096,2023-12-22,10962,,0,Not Submitted
17770-6095,JAVED CHEMICAL CORPORATION,17770,2023-10-14,6095,2023-12-21,10955,,0,Not Submitted
