Concatenate (Fusion),Concatenate (EBS),S. No.,Supplier Name,Purchase Order No,EBS No,Fusion Receipt No,Invoice Ref.
4988-1005,4988-957,3539,Naseer Autos,4988,957,1005,4988
5017-,5017-1356,3540,Pakistan Oxygen ,5017,1356,,371519055
5017-2514,5017-,3541,Pakistan Oxygen ,5017,,2514,371519055
5017-,5017-1357,3542,Pakistan Oxygen ,5017,1357,,371519023
5017-2515,5017-,3543,Pakistan Oxygen ,5017,,2515,371519023
4719-2512,4719-,3544,Bureau Veritas,4719,,2512,19002497
4799-,4799-1411,3545,Rauf Electronic ,4799,1411,,07215/1819M
4644-,4644-3369,3546,United Chemical Corporation ,4644,3369,,002496
5149-,5149-3444,3547,Martin Dow,5149,3444,,9200007685
3275-3190,3275-3423,3548,Metier Ampoule ,3275,3423,3190,18190095
3275-,3275-3424,3549,Metier Ampoule ,3275,3424,,18190094
4999-,4999-3425,3550,Metier Ampoule ,4999,3425,,18190093
4453-,4453-3407,3551,Metier Impressions,4453,3407,,18190595
4453-,4453-3408,3552,Metier Impressions,4453,3408,,18190596
4961-,4961-3406,3553,Metier Impressions,4961,3406,,18190597
3808-3185,3808-3427,3554,Metier Impressions,3808,3427,3185,18190598
4961-,4961-3428,3555,Metier Impressions,4961,3428,,18190599
3336-,3336-3437,3556,Metier Impressions,3336,3437,,18190600
4539-,4539-3440,3557,Metier Impressions,4539,3440,,18190601
4539-,4539-3439,3558,Metier Impressions,4539,3439,,18190602
3576-,3576-3438,3559,Metier Impressions,3576,3438,,18190603
4671-,4671-3442,3560,Metier Impressions,4671,3442,,18190604
2592-3189,2592-3422,3561,Metier Plastic,2592,3422,3189,18190373
2592-3188,2592-3426,3562,Metier Plastic,2592,3426,3188,18190374
2592-,2592-3431,3563,Metier Plastic,2592,3431,,18190375
2592-,2592-3432,3564,Metier Plastic,2592,3432,,18190375
2592-,2592-3441,3565,Metier Plastic,2592,3441,,18190376
4419-990,4419-942,3566,Syscom International,4419,942,990,451
3392-910,3392-862,3567,Wadittar Engineering ,3392,862,910,1259
4912-2373,4912-1325,3568,Lucky Cement Limited,4912,1325,2373,91257391
5046-1012,5046-964,3569,Imran Engineering,5046,964,1012,136
5206-2538,5206-,3570,Transworld ,5206,,2538,INV-56050-L6K3J6
4883-2530,4883-,3571,Ghulam Muhammad Sons,4883,,2530,0237
3661-337,3661-195,3572,Jamaly Enterprises,3661,195,337,3001
3661-334,3661-180,3573,Jamaly Enterprises,3661,180,334,3001
4839-1020,4839-,3574,Naseer Autos,4839,,1020,1900/04452
4153-2519,4153-1413,3575,Micro Scientific,4153,1413,2519,13038
4980-,4980-3452,3576,Aman Enterprise,4980,3452,,526
