Document Status,Line Status,Business Unit,PO,Created By,Creation Date,Vendor Name,Vendor Site Code,Ship To Location,Bill To Location,Term Name,Currency Code,Rate Type,Rate Date,Rate,DFF By Pass,DFF Purchasing For,DFF Directors Purchase,Attribute Category,DFF Remarks Or Indent,Line Num,Quantity,Received Quantity,Received Amount,Invoice Quantity,Invoice Amount,Unit Price,Line Item,Item Description,UOM,Requisition Number,Promised Date,Need By Date,Tax Name,Line Attribute Category,DFF Manufacturer,DFF Item Spec,DFF Department,DFF Line Remarks,Item Type,Requester,Dist Attribute Category,DFF Requisition Type,DFF Asset location,DFF Project,DFF Remarks,DFF Related Asset Tag Number,DFF Department.1,GCC Account,Received Quantity %,Balance Quantity
OPEN,OPEN,Brookes Pharma,10028.0,Atif Salam,2020-12-03,LIMTON CUSTOMER CARE,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,100% ADVANCE,PKR,,,,,,,Local Purchase,FOR RENTAL WAREHOUSE,1.0,1.0,0.0,0.0,0.0,0.0,7500.0,3005-00009-0000,VISIT CHARGES - FOR FACE RECOGNITION MACHINE,JOB,18021.0,2020-12-19,2020-12-08,INPUT_ST_NR_13%,Manufacturer Detail,,,, ,EXPENSE,Rehan Islam,Requisition Distribution DFF,Others,,,,,Human Resources (Common) ,11-0151-82010607-0000-00-0000-00-000,0.0,1.0
OPEN,OPEN,Brookes Pharma,10034.0,Atif Salam,2020-12-03,WADITTAR ENGINEERING,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,30 Days,PKR,,,,,,,Local Purchase,,1.0,38.0,0.0,0.0,0.0,0.0,245.0,3009-00003-0000,REPAIR AND MAINTENANCE SS NEEDLES FOR GFSA WASHING MACHINE,NOS,17749.0,2020-12-26,2020-11-19,,,,,, ,EXPENSE,Hussain Shaikh,Requisition Distribution DFF,Others,,,,,Sterile (Common) ,11-1201-82010607-0000-00-0000-00-000,0.0,38.0
OPEN,OPEN,Brookes Pharma,10087.0,Atif Salam,2020-12-08,MUHAMMAD AHSAN CONTRACTOR,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,25 Days,PKR,,,,,,,Local Purchase,REQUIRED FOR RAMP RENOVATION AT RENTAL WAREHOUSE 30-K,1.0,157.0,0.0,0.0,0.0,0.0,60.0,3007-00009-0000,"CIVIL WORK - DISMANTLING: CUTTING AND DEMOLITION OF EXISTING FLOOR (30' x 5'-3"" )!-",SFT,17884.0,2021-01-08,2020-12-02,,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,Others,,,,,Warehouse ,11-2503-82010601-0000-00-0000-00-000,0.0,157.0
OPEN,OPEN,Brookes Pharma,10087.0,Atif Salam,2020-12-08,MUHAMMAD AHSAN CONTRACTOR,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,25 Days,PKR,,,,,,,Local Purchase,REQUIRED FOR RAMP RENOVATION AT RENTAL WAREHOUSE 30-K,2.0,157.0,0.0,0.0,0.0,0.0,100.0,3007-00003-0000,"CIVIL WORK:  ROUGH FLOORING 3"" (RATIO: 1:6)",SFT,17884.0,2021-01-08,2020-12-02,,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,Others,,,,,Warehouse ,11-2503-82010601-0000-00-0000-00-000,0.0,157.0
OPEN,OPEN,Brookes Pharma,10087.0,Atif Salam,2020-12-08,MUHAMMAD AHSAN CONTRACTOR,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,25 Days,PKR,,,,,,,Local Purchase,REQUIRED FOR RAMP RENOVATION AT RENTAL WAREHOUSE 30-K,3.0,157.0,0.0,0.0,0.0,0.0,200.0,3007-00008-0000,"CIVIL WORK - PROVIDING AND FIXING MARBLE STONE THICK: 3/4""",SFT,17884.0,2021-01-08,2020-12-02,,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,Others,,,,,Warehouse ,11-2503-82010601-0000-00-0000-00-000,0.0,157.0
OPEN,OPEN,Brookes Pharma,10089.0,Atif Salam,2020-12-08,MUHAMMAD AHSAN CONTRACTOR,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,25 Days,PKR,,,,,,,Local Purchase,FOR DRAIN LINE AT GFSA MANUFACTURING AREA PLOT-58 - WORK DONE,1.0,60.0,50.0,95000.0,50.0,95000.0,1900.0,3007-00003-0000,"CIVIL WORK: PROVIDE AND INSTALL CPVC DRAIN PIPE (INCLUDES: FLOOR DISMANTLE, EXCAVATION FOR 12"" WIDE, BACK FILLING AND MARBLE FLOOR)",RFT,17960.0,2020-11-27,2020-12-04,,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,Others,,,,,Sterile (Common) ,11-1201-82010601-0000-00-0000-00-000,83.33333333333334,10.0
OPEN,OPEN,Brookes Pharma,10101.0,Atif Salam,2020-12-08,WAHEED BHAI CARPENTER,LOCAL OTHER PUR,Brookes Maintenance Org,Brookes Maintenance Org,50% ADVANCE & 50% AFTER COMPLETION OF WORK,PKR,,,,,,,Local Purchase,FOR REPLACING EXISTING ALUMINUM DOOR WITH MS DOOR RECEIVING BAY PLOT-58,4.0,1.0,0.0,0.0,0.0,0.0,8000.0,3005-00008-0000,"LABOUR CHARGES - M.S. DOOR, FRAME, DOOR CLOSER FIXING AND BALANCING!-",JOB,17287.0,2020-12-30,2020-11-17,,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,Others,,,,,Warehouse ,11-2503-82010607-0000-00-0000-00-000,0.0,1.0
OPEN,OPEN,Brookes Pharma,10102.0,Atif Salam,2020-12-08,WAHEED BHAI CARPENTER,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,25 Days,PKR,,,,,,,Local Purchase,FOR INSULATION OF WALL AT CEPH BASEMENT CRT ROOM (WAREHOUSE),1.0,352.0,0.0,0.0,0.0,0.0,380.0,3005-00027-0000,LABOUR CHARGES ( HVAC ) - INSULATION WORK OF WALL WITH THERMOPORE AND CEMENT BOARD ,SFT,17482.0,2020-12-30,2020-11-05,,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,Others,,,,,Warehouse ,11-2503-82010603-0000-00-0000-00-000,0.0,352.0
OPEN,OPEN,Brookes Pharma,10102.0,Atif Salam,2020-12-08,WAHEED BHAI CARPENTER,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,25 Days,PKR,,,,,,,Local Purchase,FOR INSULATION OF WALL AT CEPH BASEMENT CRT ROOM (WAREHOUSE),2.0,1.0,0.0,0.0,0.0,0.0,18480.0,3005-00010-0000,LABOUR CHARGES WITH MATERIAL - SUPPLY AND INSTALLATION OF PVC CUPBOARD (7' x 5.5'),JOB,17482.0,2020-12-30,2020-11-05,,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,Others,,,,,Warehouse ,11-2503-82010607-0000-00-0000-00-000,0.0,1.0
OPEN,OPEN,Brookes Pharma,10217.0,Atif Salam,2020-12-22,Irshad Sarwar,CASH PUR,Brookes HO and IT Org,Brookes HO and IT Org,Cash,PKR,,,,,,,Local Purchase,REQUIRED PERMISSION & FITNESS CERTIFICATE FOR 2500 KVA TRANSFORMER INSTALLED AT PLOT-58,1.0,1.0,0.0,0.0,0.0,0.0,350000.0,3005-00021-0000,INSTALLATION CHARGES - ELECTRIC JOBS,JOB,18157.0,2020-12-31,2020-12-17,,Manufacturer Detail,,Permission & Fitness Certificate Of 2500 Kva Transformer Installed At Plot-58,, ,EXPENSE,Muhammad Haris Ahsan,Requisition Distribution DFF,Others,,,,,Electrical ,11-2403-82010603-0000-00-0000-00-000,0.0,1.0
