Req. Status,Fusion PR. No,PO. No,PR. Line No,Department,PR No,PR Date,Item Code,Item Name,UOM,Qty,Delivery Date,Buyer,Description
APPROVED,12594,,4,Procurement,3898,8/11/2019,1001-00036-0000,FENTANYL CITRATE,GMS,7,13/11/19,,ALPRAZOLAM
APPROVED,12594,,8,Procurement,3898,8/11/2019,1001-00036-0000,FENTANYL CITRATE,GMS,7,13/11/19,,ALPRAZOLAM
APPROVED,12594,,5,Procurement,3898,8/11/2019,1001-00036-0000,FENTANYL CITRATE,GMS,7,13/11/19,,ALPRAZOLAM
APPROVED,7116,,1,Procurement,1950,20/12/18,1001-00038-0000,GLIMEPIRIDE,KGs,300,24/12/18,,P.V.P. K-30
APPROVED,7927,,12,Product Development (Common),2228,18/03/19,1001-00081-0000,THIAMINE HCL,KGs,0.56,29/01/19,,COPOVIDONE
APPROVED,,,2,,7274,30/01/24,1001-00048-0000,LEVOFLOXACIN HEMIHYDRATE,KGs,"1,000.00",15/04/24,Mumtaz,
APPROVED,627,,1,,170,24/05/18,1001-00048-0000,LEVOFLOXACIN HEMIHYDRATE,KGs,5,25/05/18,,LEVOFLOXACIN HEMIHYDRATE
APPROVED,12594,,3,Procurement,3898,8/11/2019,1001-00005-0000,ALPRAZOLAM,KGs,30,31/01/20,,ALPRAZOLAM
APPROVED,12583,,1,Procurement,3846,6/11/2019,1001-00005-0000,ALPRAZOLAM,KGs,30,12/11/2019,,ALPRAZOLAM
APPROVED,29391,,1,,6778,6/11/2023,1001-00006-0000,AMANTADINE SULPHATE,KGs,240,6/12/2023,Mumtaz,
APPROVED,24589,,2,,5829,24/05/22,1001-00015-0000,CIPROFLOXACIN HCL,KGs,500,15/06/22,,For Local arrangement due to delay in LC for imported consignment
APPROVED,13091,,2,Procurement,3966,18/11/19,1001-00016-0000,CIS ATRACURIUM BESYLATE,KGs,65,31/12/19,,CIS ATRACURIUM BESYLATE
APPROVED,8873,,4,All Marketing Groups,2364,5/4/2019,5101-00052-0000,ENERGY SAVER 24 WATTS,NOS,12,11/4/2019,,REQUIRED FOR ELECTRIC WORK AT MARKETING OFFICE.
APPROVED,7699,,1,Warehouse,2078,10/1/2019,5102-00010-0000,BATTERY 12V,NOS,40,17/01/19,,Required for Engineering Department and used for emergency lights of plot 59.(BATTERY 12V X 7AH)
APPROVED,9603,,1,Product Development (Common),2600,17/05/19,1003-00112-0000,SODIUM CARBOXY METHYL CELLULOSE (HIGH VISCOCITY),KGs,2,24/05/19,,SODIUM CARBOXY METHYL CELLULOSE (HIGH VISCOCITY)
APPROVED,1909,,3,Product Development (Common),591,17/07/18,1003-00015-0000,CALCIUM D-PANTOTHENATE,KGs,25,18/07/18,,ASCORBIC ACID PLAIN
APPROVED,9495,,1,Product Development (Common),2560,8/5/2019,1003-00035-0000,DEXTROSE ANHYDROUS,KGs,2.5,14/05/19,,DEXTROSE ANHYDROUS
APPROVED,4732,,2,Networking,1098,18/09/18,4205-00013-0000,"HP 280 G6 CI5, 11400-8GB-1TB SATA & 512 SSD",NOS,15,25/09/18,,COMPUTER CORE I5
APPROVED,98,,1,,191,24/05/18,4205-00013-0000,"HP 280 G6 CI5, 11400-8GB-1TB SATA & 512 SSD",NOS,10,25/04/18,,To maintain inventory
APPROVED,5357,,6,Networking,1356,16/10/18,4205-00020-0000,PRINTER LASER JET PRO (ALL IN ONE ) MODEL: MFP M227FDW BRAND: HP,NOS,2,19/10/18,,TO MAINTAIN INVENTORY
APPROVED,38,,1,,185,24/05/18,4157-00003-0000,SPLIT AIR CONDITION 2 TON,NOS,4,20/04/18,,For Conference Room
APPROVED,3358,,10,Directors,729,1/8/2018,4157-00010-0000,SPLIT AIR CONDITION 1 TON,NOS,2,7/8/2018,,FOR 35-H
APPROVED,8632,,3,Compression,2248,20/03/19,5103-00012-0000,DISTRIBUTION BOARD WEATHER PROOF / RAIN PROTECTED WALL MOUNTED,NOS,1,25/03/19,,REQUIRED FOR REVAMPING OF COMPRESSION AREA.
APPROVED,8165,,5,Admin Common,2220,18/03/19,5102-00001-0000,BATTERY DRY SEALED MAINTAINANCE FREE 12V X 7AH,NOS,1,6/3/2019,,Fixing quarter glass of Suzuki Mehran BMU-690 (Ms.Nabila) 17788
APPROVED,7431,,1,Admin Common,1979,27/12/18,5102-00001-0000,BATTERY DRY SEALED MAINTAINANCE FREE 12V X 7AH,NOS,1,3/1/2019,,"ARRANGED BATTERY FOR  VEHICLE SUZUKI SWIFT BLV-031  Mr. RAHEEL MEHMOOD (10,000KM). "
APPROVED,3582,,1,Warehouse,845,13/08/18,5102-00006-0000,BATTERY 12 VOLT 120AH,NOS,1,8/8/2018,,URGENTLY REQUIRED FOR GENSET OF RENTAL WAREHOUSE.
APPROVED,8654,,46,Warehouse,2198,18/03/19,5109-00004-0000,"WINDING WIRE (COPPER) SIZE NO. 23, MAKE: GHAZI",KGs,5,6/2/2019,,WINDING WIRE (COPPER) SIZE NO. 22 MAKE: GHAZI
APPROVED,7931,,10,Sterile (Common),2230,18/03/19,5108-00019-0000,CABLE 4 CORE 16MM^2 CU/PVC/PVC,MTR,100,4/2/2019,,REQUIRED FOR ACL TUNNEL .
APPROVED,8654,,48,Warehouse,2198,18/03/19,5109-00019-0000,WINDING WIRE (COPPER) SIZE NO. 27 MAKE: GHAZI,KGs,5,6/2/2019,,WINDING WIRE (COPPER) SIZE NO. 22 MAKE: GHAZI
APPROVED,6654,,2,Packaging (Common),1727,30/11/18,5122-00168-0000,SERVO DRIVE MR-J2 BRAND: MITSUBISHI,NOS,1,7/12/2018,,REQUIRED FOR BQS II MACHINE .
APPROVED,7931,,35,Sterile (Common),2230,18/03/19,5122-00189-0000,PLC-CPU HIGH SPEED,NOS,1,14/03/19,,REQUIRED FOR ACL TUNNEL .
APPROVED,173,,2,,145,24/05/18,5122-00246-0000,"POWER SUPPLY 12 VOLT, 2 AMP",NOS,12,15/05/18,,Items Required for Installation & Repair & Maintenance of CCTV  
APPROVED,14454,,6,,4575,28/02/20,5208-00030-0000,"BOLT S.S SIZE: 10MMX11/2""",NOS,28,29/02/20,,
APPROVED,11560,,4,Non Sterile - Semi Solid & Liquid (Common),3491,10/10/2019,5207-00013-0000,"NUT S S SIZE: 5/8""",NOS,24,30/08/19,,Required for Minoxin Area.
APPROVED,7931,,50,Packaging (Common),2230,18/03/19,5212-00031-0000,SOLENOID VALVE  24 VOLT DC,NOS,1,13/03/19,,REQUIRED FOR ACL TUNNEL .
APPROVED,3863,,1,Packaging (Common),961,5/9/2018,5212-00031-0000,SOLENOID VALVE  24 VOLT DC,NOS,1,27/08/18,,Required for Packaging area machines (liquid packaging and blister machines) 
APPROVED,8165,,73,Admin Common,2220,18/03/19,5221-00048-0000,OIL SEAL,NOS,1,19/02/19,,Fixing quarter glass of Suzuki Mehran BMU-690 (Ms.Nabila) 17788
APPROVED,5855,,1,Engineering (Common),1477,30/10/18,5224-00012-0000,"SHEET THERMOPORE 1"" THICK",SFT,"1,280.00",5/11/2018,,REQUIRED FOR INSULATION OF MACHINES - NAL PROJECT.
APPROVED,433,,3,,178,24/05/18,5224-00015-0000,SILVER PLATES,SFT,63,15/05/18,,Required for Office Room construction at Rental Warehouse 30K
APPROVED,1737,,1,Non Sterile - Solid (Common),594,17/07/18,5224-00038-0000,SHEET LASANI WOODEN SIZE: 8' X 4',SFT,224,25/07/18,,For Repair and Maintenance work done in NS different areas (Due to accident at granulation).
APPROVED,6324,,4,Logistics,1639,15/11/18,5225-00007-0000,SPRING M.S.,NOS,1,22/11/18,,REQUIRED FOR GENERATOR OF RENTAL LOGISTICS 30K.
APPROVED,7544,,4,Admin Common,2025,3/1/2019,5226-00001-0000,"STEEL NAIL SIZE:1""",NOS,1,9/1/2019,,Required CCTV & Telephone networking wire covered with concealed wiring at Plot # 58/59 on top roof.(REFERENCE OF MINUTES OF GAMBA WALK)
APPROVED,19315,,75,,5170,15/03/21,5227-00009-0000,"TAPE DAMMER 2""",NOS,32,15/03/21,,
APPROVED,3314,,11,Warehouse,699,30/07/18,5232-00002-0000,VALVE BALL SIZE: 1'' UPVC,NOS,6,6/8/2018,,REQUIRED FOR WAREHOUSE WASHING AREA AND EXECUTIVE WASHROOM DUE TO NAL PROJECT.
APPROVED,10906,,3,Admin Common,3405,3/10/2019,5232-00008-0000,"VALVE FOOT BRASS SIZE: 2-1/2""",NOS,12,24/07/19,,ITEMS REQUIRED FOR RAIN EMERGENCY AT BROOKES
APPROVED,1822,,1,Administration (Common),583,17/07/18,5232-00057-0000,"BALL VALVE SIZE: 2"" AGM",NOS,2,16/07/18,,REQUIRED FOR KDA WATER LINE 
