Concatenate (Fusion),Supplier,PO No  ( EBS ),PO ( EBS ) Delivery Date,MRR No. ( EBS ),MRR Date ( EBS ),MRR No. ( Fusion ),MRR Release Date,Invoice Number,Invoice Ref.
13100-0,ASHLAND SPECIALTY CHEMICAL (SINGAPORE) PTE. LTD,13100,2021-12-15,9991,2021-12-31,0,,0,Not Submitted
13100-0,ASHLAND SPECIALTY CHEMICAL (SINGAPORE) PTE. LTD,13100,2021-12-15,9990,2021-12-31,0,,0,Not Submitted
13008-0,METIER IMPRESSIONS (PVT) LTD.,13008,2021-12-04,9986,2022-01-07,0,2022-01-21,0,Not Submitted
11959-0,"JIANGXI CHUNGUANG NEW MATERIALS TECHNOLOGY CO.,LTD",11959,2021-11-01,9982,2021-12-23,0,2022-01-19,0,Not Submitted
1623-0,GELCAPS (PAKISTAN) LIMITED,1623,2018-08-30,998,2018-07-27,0,,0,Not Submitted
3555-0,K.S ENTERPRISES,3555,2018-11-30,998,2019-01-15,0,,0,Not Submitted
1920-0,REBORN INDUSTIRES (PVT) LTD,1920,2018-09-28,997,2018-07-27,0,,0,Not Submitted
3883-0,S. R. MARKETING,3883,2019-01-03,997,2019-01-15,0,,0,Not Submitted
3883-0,S. R. MARKETING,3883,2019-01-03,997,2019-01-15,0,,0,Not Submitted
12534-0,AARTI DRUGS LIMITED,12534,2021-11-01,9967,2022-01-06,0,,0,Not Submitted
13117-0,METIER PLASTIC (PVT.) LIMITED,13117,2022-01-20,9961,2022-01-05,0,2022-01-13,0,Not Submitted
13140-0,AL-MEHRAN CHEMICALS,13140,2022-01-01,9960,2022-01-05,0,,0,Not Submitted
13026-0,METIER PLASTIC (PVT.) LIMITED,13026,2021-12-30,9959,2022-01-04,0,2022-01-13,0,Not Submitted
13026-0,METIER PLASTIC (PVT.) LIMITED,13026,2021-12-30,9932,2021-12-30,0,2022-01-13,0,Not Submitted
11983-0,LAKE CHEMICALS PVT LTD INDIA,11983,2021-09-26,9897,2021-12-20,0,2023-03-24,0,Not Submitted
12040-0,"MERZ PHARMACEUTICAL GMBH, GERMANY",12040,2021-10-30,9882,2021-12-21,0,,0,Not Submitted
12040-0,"MERZ PHARMACEUTICAL GMBH, GERMANY",12040,2021-10-30,9881,2021-12-21,0,,0,Not Submitted
12040-0,"MERZ PHARMACEUTICAL GMBH, GERMANY",12040,2021-10-30,9880,2021-12-21,0,,0,Not Submitted
12828-0,METIER IMPRESSIONS (PVT) LTD.,12828,2021-11-20,9857,2021-12-21,0,2021-12-28,0,Not Submitted
6657-86,"NOVOLITE CHEMICALS CO.,LTD",6657,2019-11-01,98,2019-11-11,86,,0,Not Submitted
4986-0,S. S. COMPRESSOR,4986,2019-05-03,978,2019-06-19,0,,0,Not Submitted
12216-0,METIER PLASTIC (PVT.) LIMITED,12216,2021-11-01,9730,2021-11-26,0,2021-11-30,0,Not Submitted
1033-153,SUPERLINE MARKETING CO.,1033,2018-05-02,97,2018-05-18,153,,0,Not Submitted
1281-181,METIER IMPRESSIONS (PVT) LTD.,1281,2018-06-25,97,2018-07-27,181,2018-08-04,0,Not Submitted
1471-0,KHAN PACKAGES,1471,2018-06-26,965,2018-07-24,0,,0,Not Submitted
3355-1684,JAVED CHEMICAL CORPORATION,3355,2018-11-30,963,2019-01-04,1684,,0,Not Submitted
3355-1684,JAVED CHEMICAL CORPORATION,3355,2018-11-30,963,2019-01-04,1684,,0,Not Submitted
1033-152,SUPERLINE MARKETING CO.,1033,2018-05-02,96,2018-05-18,152,,0,Not Submitted
12091-0,LABORATORY SCIENTIFIC SUPPLIES (PRIVATE) LIMITED,12091,2021-08-30,9594,2021-11-12,0,,0,Not Submitted
1957-0,COLLAPSIBLE TUBE COMPANY (PVT) LIMITED,1957,2018-07-20,954,2018-07-23,0,,0,Not Submitted
1281-1005,METIER IMPRESSIONS (PVT) LTD.,1281,2018-05-28,953,2018-07-23,1005,2018-07-31,0,Not Submitted
1281-170,METIER IMPRESSIONS (PVT) LTD.,1281,2018-06-25,95,2018-07-26,170,2018-08-01,0,Not Submitted
4628-997,PARADISE TRADERS,4628,2019-04-03,949,2019-06-13,997,,0,Not Submitted
4628-997,PARADISE TRADERS,4628,2019-04-03,949,2019-06-13,997,,0,Not Submitted
12477-0,KHAN PACKAGES,12477,2021-10-24,9488,2021-10-30,0,2021-11-02,0,Not Submitted
4477-996,PARADISE TRADERS,4477,2019-03-05,948,2019-06-13,996,,0,Not Submitted
12419-0,METIER IMPRESSIONS (PVT) LTD.,12419,2021-12-06,9472,2021-10-29,0,,0,Not Submitted
3555-0,K.S ENTERPRISES,3555,2018-11-30,947,2019-01-02,0,,0,Not Submitted
2014-0,KHAN PACKAGES,2014,2018-09-14,944,2018-07-20,0,,0,Not Submitted
6249-70,METIER AMPOULE (PVT.) LIMITED,6249,2019-09-30,94,2019-10-01,70,2019-10-10,0,Not Submitted
2984-0,NEW STAR ENTERPRISES,2984,2018-10-08,939,2019-06-11,0,,0,Not Submitted
2041-924,MEDICURE LABORATORIES,2041,2018-06-19,937,2018-07-20,924,,0,Not Submitted
3229-1637,JAVED CHEMICAL CORPORATION,3229,2018-11-01,930,2018-12-26,1637,,0,Not Submitted
1281-176,METIER IMPRESSIONS (PVT) LTD.,1281,2018-06-25,93,2018-07-26,176,2018-07-31,0,Not Submitted
6163-78,"Shandong Yulong Cellulose Technology Co.,Ltd",6163,2019-09-10,93,2019-09-19,78,,0,Not Submitted
3555-0,K.S ENTERPRISES,3555,2018-11-30,922,2018-12-21,0,,0,Not Submitted
12207-0,METIER IMPRESSIONS (PVT) LTD.,12207,2021-10-06,9178,2021-09-22,0,2021-09-28,0,Not Submitted
4710-959,NEW STAR ENTERPRISES,4710,2019-04-04,911,2019-05-30,959,,0,Not Submitted
4710-959,NEW STAR ENTERPRISES,4710,2019-04-04,911,2019-05-30,959,,0,Not Submitted
1281-174,METIER IMPRESSIONS (PVT) LTD.,1281,2018-06-25,91,2018-07-23,174,2018-07-31,0,Not Submitted
4709-956,NEW STAR ENTERPRISES,4709,2019-04-04,908,2019-05-30,956,,0,Not Submitted
11974-0,STYLE PACK (PRIVATE) LIMITED,11974,2021-08-16,9043,2021-09-03,0,2021-09-09,0,Not Submitted
692-0,LINDE PAKISTAN LIMITED,692,2018-01-15,9,2018-04-16,0,,0,Not Submitted
11899-0,GELCAPS (PAKISTAN) LIMITED,11899,2021-09-25,8998,2021-08-30,0,,0,Not Submitted
11899-0,GELCAPS (PAKISTAN) LIMITED,11899,2021-09-15,8998,2021-08-30,0,,0,Not Submitted
11899-0,GELCAPS (PAKISTAN) LIMITED,11899,2021-09-15,8998,2021-08-30,0,,0,Not Submitted
11931-0,BROTHERS ENTERPRISE (PVT.) LIMITED,11931,2021-08-31,8985,2021-08-28,0,,0,Not Submitted
3110-1591,Muhammad Haroon,3110,2018-10-19,898,2018-12-18,1591,,0,Not Submitted
3110-1591,Muhammad Haroon,3110,2018-10-19,898,2018-12-18,1591,,0,Not Submitted
3110-1591,Muhammad Haroon,3110,2018-10-19,898,2018-12-18,1591,,0,Not Submitted
3110-1591,Muhammad Haroon,3110,2018-10-19,898,2018-12-18,1591,,0,Not Submitted
3110-1591,Muhammad Haroon,3110,2018-10-19,898,2018-12-18,1591,,0,Not Submitted
3110-1591,Muhammad Haroon,3110,2018-10-19,898,2018-12-18,1591,,0,Not Submitted
3110-1591,Muhammad Haroon,3110,2018-10-19,898,2018-12-18,1591,,0,Not Submitted
3110-1591,Muhammad Haroon,3110,2018-10-19,898,2018-12-18,1591,,0,Not Submitted
3110-1591,Muhammad Haroon,3110,2018-10-19,898,2018-12-18,1591,,0,Not Submitted
3110-1591,Muhammad Haroon,3110,2018-10-18,898,2018-12-18,1591,,0,Not Submitted
3110-1591,Muhammad Haroon,3110,2018-10-18,898,2018-12-18,1591,,0,Not Submitted
3110-1591,Muhammad Haroon,3110,2018-10-18,898,2018-12-18,1591,,0,Not Submitted
3110-1591,Muhammad Haroon,3110,2018-10-18,898,2018-12-18,1591,,0,Not Submitted
3110-1591,Muhammad Haroon,3110,2018-10-18,898,2018-12-18,1591,,0,Not Submitted
3110-1591,Muhammad Haroon,3110,2018-10-18,898,2018-12-18,1591,,0,Not Submitted
3110-1591,Muhammad Haroon,3110,2018-10-18,898,2018-12-18,1591,,0,Not Submitted
3110-1591,Muhammad Haroon,3110,2018-10-18,898,2018-12-18,1591,,0,Not Submitted
3110-1591,Muhammad Haroon,3110,2018-10-18,898,2018-12-18,1591,,0,Not Submitted
3110-1591,Muhammad Haroon,3110,2018-10-18,898,2018-12-18,1591,,0,Not Submitted
3110-1591,Muhammad Haroon,3110,2018-10-18,898,2018-12-18,1591,,0,Not Submitted
3110-1591,Muhammad Haroon,3110,2018-10-18,898,2018-12-18,1591,,0,Not Submitted
3110-1591,Muhammad Haroon,3110,2018-10-18,898,2018-12-18,1591,,0,Not Submitted
3110-1591,Muhammad Haroon,3110,2018-10-18,898,2018-12-18,1591,,0,Not Submitted
